Reported Date,Bullish,Neutral,Bearish,Total,Mov Avg,Bull-Bear Spread,Bullish Average,
,,,,,,,,
6/26/1987,,,,,,,37.60%,
7/17/1987,,,,,,,37.60%,
7/24/1987,36.00%,50.00%,14.00%,100%,,22.00%,37.60%,
7/31/1987,26.00%,48.00%,26.00%,100%,,0.00%,37.60%,
8/7/1987,56.00%,15.00%,29.00%,100%,,27.00%,37.60%,
8/14/1987,45.00%,35.00%,20.00%,100%,,25.00%,37.60%,
8/21/1987,66.00%,28.00%,6.00%,100%,,60.00%,37.60%,
8/28/1987,52.00%,18.00%,30.00%,100%,,22.00%,37.60%,
9/4/1987,42.00%,17.00%,41.00%,100%,,1.00%,37.60%,
9/11/1987,50.00%,23.00%,27.00%,100%,46.63%,23.00%,37.60%,
9/18/1987,60.00%,29.00%,11.00%,100%,49.63%,49.00%,37.60%,
9/25/1987,53.00%,17.00%,30.00%,100%,53.00%,23.00%,37.60%,
10/2/1987,44.00%,26.00%,30.00%,100%,51.50%,14.00%,37.60%,
10/9/1987,46.00%,39.00%,15.00%,100%,51.63%,31.00%,37.60%,
10/16/1987,37.00%,30.00%,33.00%,100%,48.00%,4.00%,37.60%,
10/23/1987,39.00%,30.00%,31.00%,100%,46.38%,8.00%,37.60%,
10/30/1987,44.00%,23.00%,33.00%,100%,46.63%,11.00%,37.60%,
11/6/1987,47.00%,31.00%,22.00%,100%,46.25%,25.00%,37.60%,
11/13/1987,31.00%,41.00%,28.00%,100%,42.63%,3.00%,37.60%,
11/20/1987,39.00%,42.00%,19.00%,100%,40.88%,20.00%,37.60%,
11/27/1987,27.00%,46.00%,27.00%,100%,38.75%,0.00%,37.60%,
12/4/1987,25.00%,33.00%,42.00%,100%,36.13%,-17.00%,37.60%,
12/11/1987,23.00%,45.00%,32.00%,100%,34.38%,-9.00%,37.60%,
12/18/1987,33.00%,40.00%,27.00%,100%,33.63%,6.00%,37.60%,
12/24/1987,28.00%,52.00%,20.00%,100%,31.63%,8.00%,37.60%,
12/31/1987,25.00%,49.00%,26.00%,100%,28.88%,-1.00%,37.60%,
1/8/1988,34.00%,46.00%,20.00%,100%,29.25%,14.00%,37.60%,
1/15/1988,34.00%,40.00%,26.00%,100%,28.63%,8.00%,37.60%,
1/22/1988,21.00%,48.00%,31.00%,100%,27.88%,-10.00%,37.60%,
1/29/1988,26.00%,45.00%,29.00%,100%,28.00%,-3.00%,37.60%,
2/5/1988,32.00%,53.00%,15.00%,100%,29.13%,17.00%,37.60%,
2/12/1988,32.00%,46.00%,22.00%,100%,29.00%,10.00%,37.60%,
2/19/1988,27.00%,49.00%,24.00%,100%,28.88%,3.00%,37.60%,
2/26/1988,30.00%,51.00%,19.00%,100%,29.50%,11.00%,37.60%,
3/4/1988,38.00%,40.00%,22.00%,100%,30.00%,16.00%,37.60%,
3/11/1988,43.00%,40.00%,17.00%,100%,31.13%,26.00%,37.60%,
3/18/1988,41.00%,49.00%,10.00%,100%,33.63%,31.00%,37.60%,
3/25/1988,45.00%,38.00%,17.00%,100%,36.00%,28.00%,37.60%,
4/1/1988,35.00%,45.00%,20.00%,100%,36.38%,15.00%,37.60%,
4/8/1988,33.00%,48.00%,19.00%,100%,36.50%,14.00%,37.60%,
4/15/1988,23.00%,53.00%,24.00%,100%,36.00%,-1.00%,37.60%,
4/22/1988,23.00%,57.00%,20.00%,100%,35.13%,3.00%,37.60%,
4/29/1988,22.00%,48.00%,30.00%,100%,33.13%,-8.00%,37.60%,
5/6/1988,38.00%,42.00%,20.00%,100%,32.50%,18.00%,37.60%,
5/13/1988,19.00%,56.00%,25.00%,100%,29.75%,-6.00%,37.60%,
5/20/1988,23.00%,52.00%,25.00%,100%,27.00%,-2.00%,37.60%,
5/27/1988,28.00%,52.00%,20.00%,100%,26.13%,8.00%,37.60%,
6/3/1988,26.00%,62.00%,12.00%,100%,25.25%,14.00%,37.60%,
6/10/1988,28.00%,49.00%,23.00%,100%,25.88%,5.00%,37.60%,
6/17/1988,29.00%,50.00%,21.00%,100%,26.63%,8.00%,37.60%,
6/24/1988,33.00%,44.00%,23.00%,100%,28.00%,10.00%,37.60%,
